"","driverId","constructorId","grid","position","laps","milliseconds","rank","maxSpeed"
"23687",839,10,5,6,53,5318982,11,220.419
"23688",815,10,7,7,53,5322618,10,220.649
"23689",825,210,12,8,53,5340147,13,219.274
"23690",154,210,13,9,53,5341077,14,219.253
"23702",1,131,1,1,56,5630991,5,200.927
"23703",20,6,2,2,56,5641134,6,200.86
"23704",8,6,5,3,56,5646770,1,203.003
"23705",830,9,16,4,56,5647759,4,202.394
"23706",822,131,3,5,56,5665958,2,203.001
"23707",839,10,6,6,56,5721971,13,197.482
"23708",832,4,7,7,56,5723935,12,197.555
"23722",830,9,2,1,71,5786552,2,196.4
"23723",822,131,4,2,71,5806230,3,195.207
"23724",8,6,5,3,71,5840559,6,193.549
"23725",20,6,1,4,71,5856630,1,196.666
"23742",20,6,2,1,71,5486262,7,213.849
"23743",822,131,1,2,71,5489024,5,214.064
"23744",8,6,3,3,71,5490862,6,213.987
"23745",1,131,20,4,71,5491730,2,215.914
"23746",830,9,4,5,71,5519202,1,218.349
"23747",817,9,14,6,71,5534953,4,215.363
"23748",13,3,9,7,71,5555144,11,211.19
"23749",4,1,6,8,71,5555625,10,211.193
"23750",815,10,5,9,71,5555762,8,212.347
"23762",822,131,1,1,55,5654062,1,198.652
"23763",1,131,2,2,55,5657961,3,197.041
"23764",20,6,3,3,55,5673392,2,198.416
"23765",8,6,5,4,55,5699448,7,195.376
"23766",830,9,6,5,55,5700331,5,195.969
"23767",807,4,7,6,55,5739775,8,195.303
"23768",815,10,8,7,55,5746124,11,194.708
"23769",839,10,9,8,55,5752973,10,194.86
"23782",20,6,3,1,58,5373283,4,220.782
"23783",1,131,1,2,58,5378319,3,220.845
"23784",8,6,2,3,58,5379592,2,221.027
"23785",817,9,8,4,58,5380352,1,222.128
"23786",4,1,10,5,58,5401169,7,219.489
"23787",830,9,4,6,58,5402228,5,219.737
"23788",807,4,7,7,58,5405954,9,219.23
"23789",822,131,15,8,58,5407622,8,219.386
"23790",838,1,11,9,58,5408204,6,219.54
"23791",832,4,9,10,58,5419005,12,217.079
"23792",815,10,12,11,58,5420100,11,217.849
"23793",839,10,14,12,58,5433561,10,217.931
"23794",844,15,18,13,58,5449042,15,215.085
"23795",840,3,13,14,58,5451571,14,215.688
"23802",20,6,1,1,57,5521940,7,206.274
"23803",822,131,3,2,57,5522639,1,207.842
"23804",1,131,9,3,57,5528452,2,207.371
"23805",842,5,5,4,57,5584174,11,205.382
"23806",825,210,6,5,57,5596986,5,206.549
"23807",807,4,7,6,57,5620964,9,205.807
"23822",817,9,6,1,56,5736380,1,204.871
"23823",822,131,3,2,56,5745274,6,202.332
"23824",8,6,2,3,56,5746017,3,203.446
"23825",1,131,4,4,56,5753365,4,202.559
"23826",830,9,5,5,56,5756816,2,203.974
"23827",807,4,7,6,56,5757432,5,202.553
"23828",4,1,13,7,56,5767019,7,201.818
"23829",20,6,1,8,56,5771666,9,201.311
"23830",832,4,9,9,56,5772143,11,200.744
"23831",825,210,11,10,56,5775974,14,199.93
"23832",839,10,12,11,56,5780430,12,200.271
"23833",815,10,8,12,56,5781105,10,200.911
"23834",838,1,14,13,56,5785753,13,199.961
"23835",840,3,18,14,56,5791870,17,199.224
"23836",845,3,16,15,56,5794621,18,198.973
"23837",828,15,20,16,56,5798984,16,199.455
"23838",154,210,10,17,56,5801676,8,201.453
"23839",842,5,17,18,56,5802710,15,199.493
"23840",844,15,19,19,56,5818955,19,198.603
"23842",1,131,2,1,51,6224291,2,205.012
"23843",8,6,6,2,51,6226751,7,202.874
"23844",815,10,8,3,51,6228315,6,203.48
"23845",20,6,1,4,51,6229620,4,204.783
"23846",832,4,9,5,51,6231806,9,202.242
"23847",844,15,13,6,51,6233449,11,201.212
"23848",4,1,12,7,51,6235222,12,201.126
"23849",840,3,10,8,51,6236837,8,202.319
"23850",838,1,16,9,51,6238443,13,200.72
"23851",843,5,19,10,51,6242321,17,199.567
"23852",828,15,18,11,51,6242803,14,200.239
"23853",842,5,17,12,51,6249011,15,200.035
"23854",825,210,15,13,51,6264954,16,199.813
"23862",1,131,1,1,66,5729972,3,211.77
"23863",822,131,2,2,66,5750565,5,210.85
"23864",830,9,5,3,66,5756845,4,210.999
"23865",20,6,3,4,66,5757556,2,211.783
"23866",817,9,6,5,66,5780030,1,213.638
"23882",817,9,1,1,78,6174807,5,158.984
"23883",20,6,2,2,78,6182143,7,157.933
"23884",1,131,3,3,78,6191820,8,157.508
"23885",8,6,4,4,78,6192934,10,157.257
"23886",822,131,5,5,78,6193629,9,157.422
"23887",839,10,6,6,78,6198474,14,155.96
"23888",842,5,10,7,78,6199138,15,155.815
"23889",807,4,11,8,78,6199646,6,157.941
"23890",830,9,20,9,78,6200124,1,161.772
"23891",832,4,8,10,78,6243820,18,155.027
"23892",828,15,16,11,78,6244671,12,156.145
"23893",815,10,9,12,78,6245268,19,154.917
"23894",825,210,19,13,78,6249630,17,155.057
"23902",20,6,1,1,68,5311377,2,212.26
"23903",822,131,2,2,68,5318753,3,212.179
"23904",830,9,3,3,68,5319737,1,212.547
"23905",817,9,6,4,68,5332269,5,211.701
"23906",1,131,4,5,68,5332936,6,211.633
"23907",8,6,5,6,68,5338561,4,211.941
"23922",1,131,1,1,53,5411385,5,222.531
"23923",830,9,4,2,53,5418475,2,223.083
"23924",8,6,6,3,53,5437273,3,222.792
"23925",817,9,5,4,53,5446121,7,220.494
"23926",20,6,3,5,53,5473320,4,222.587
"23927",825,210,9,6,53,5490749,8,220.395
"23928",822,131,2,7,53,5492017,1,223.201
"23929",832,4,7,8,53,5498569,9,219.904
"23930",807,4,12,9,53,5503374,11,219.365
"23931",844,15,8,10,53,5505258,12,219.127
"23942",830,9,4,1,71,4916024,4,230.491
"23943",8,6,3,2,71,4917528,1,232.16
"23944",20,6,6,3,71,4919205,2,231.728
"23962",20,6,2,1,52,5249784,1,233.831
"23963",1,131,1,2,52,5252048,3,232.424
"23964",8,6,3,3,52,5253436,2,233.576
"23965",822,131,4,4,52,5258667,4,232.089
"23966",817,9,6,5,52,5259284,5,231.551
"23967",807,4,11,6,52,5278004,7,227.049
"23968",839,10,10,7,52,5279714,13,226.562
"23969",4,1,13,8,52,5280899,10,226.862
